station,shift_date,availability,performance,quality,oee,units_produced,units_defective,downtime_sec,throughput_per_hr
Labeling,2026-01-01,0.9905,0.9932,0.9945,0.9783,15758,86,274,1967.4
Labeling,2026-01-02,0.9937,0.9942,0.9938,0.9818,15808,98,182,1975.9
Labeling,2026-01-03,0.9908,0.9959,0.9938,0.9806,15801,98,266,1973.3
Labeling,2026-01-04,0.9976,0.9956,0.994,0.9873,15897,96,68,1986.6
Labeling,2026-01-05,0.9852,0.9989,0.9947,0.9789,15749,83,427,1968.1
Labeling,2026-01-06,0.9878,0.9909,0.9934,0.9723,15690,104,353,1957.6
Labeling,2026-01-07,0.9925,0.991,0.9932,0.9769,15757,107,216,1967.2
Labeling,2026-01-08,0.9893,0.9873,0.9947,0.9716,15633,83,307,1953.7
Labeling,2026-01-09,0.9888,0.9915,0.9943,0.9749,15699,89,322,1960.9
Labeling,2026-01-10,0.9831,0.9855,0.9938,0.9628,15505,96,488,1937.6
Labeling,2026-01-11,0.9941,0.9915,0.9935,0.9793,15798,102,170,1971.3
Labeling,2026-01-12,0.9912,0.9957,0.9944,0.9814,15798,88,255,1973.7
Labeling,2026-01-13,0.9946,0.9964,0.9932,0.9842,15876,108,157,1982.0
Labeling,2026-01-14,0.9856,0.9985,0.9944,0.9787,15777,88,416,1968.3
Labeling,2026-01-15,0.9971,0.9944,0.9947,0.9863,15878,84,83,1983.2
Labeling,2026-01-16,0.9886,0.9932,0.9942,0.9762,15726,91,329,1963.8
Labeling,2026-01-17,0.9964,0.9849,0.9944,0.9759,15725,88,103,1962.7
Labeling,2026-01-18,0.9895,0.9909,0.9934,0.974,15689,104,301,1961.1
Labeling,2026-01-19,0.9971,0.9853,0.9936,0.9762,15732,100,84,1964.9
Labeling,2026-01-20,0.9952,0.9977,0.9939,0.9869,15897,97,137,1986.0
Labeling,2026-01-21,0.993,0.9979,0.9939,0.9849,15867,97,202,1981.9
Labeling,2026-01-22,0.9912,0.986,0.9931,0.9706,15645,108,255,1954.6
Labeling,2026-01-23,0.9949,0.9941,0.9934,0.9825,15840,104,148,1978.1
Labeling,2026-01-24,0.9929,0.9875,0.9943,0.975,15702,89,205,1961.0
Labeling,2026-01-25,0.9921,0.9928,0.9947,0.9797,15785,84,227,1969.9
Labeling,2026-01-26,0.9882,0.993,0.9927,0.9741,15723,115,341,1962.6
Labeling,2026-01-27,0.9932,0.9906,0.9937,0.9777,15751,99,197,1967.7
Labeling,2026-01-28,0.9974,0.9903,0.9932,0.981,15812,108,74,1975.5
Labeling,2026-01-29,0.9885,0.9918,0.9944,0.975,15704,88,331,1960.9
Labeling,2026-01-30,0.9924,0.9926,0.9945,0.9796,15782,87,218,1970.2
Packaging,2026-01-01,0.9762,0.9859,0.9959,0.9585,11097,46,685,1385.9
Packaging,2026-01-02,0.985,0.982,0.9953,0.9628,11148,52,432,1392.9
Packaging,2026-01-03,0.9926,0.9914,0.996,0.9801,11349,45,213,1417.0
Packaging,2026-01-04,0.9976,0.9843,0.9961,0.9782,11316,44,68,1414.1
Packaging,2026-01-05,0.9794,0.9881,0.9963,0.9643,11170,41,594,1393.6
Packaging,2026-01-06,0.9577,0.9873,0.9953,0.9411,10900,51,1220,1361.6
Packaging,2026-01-07,0.997,0.9797,0.9952,0.9721,11263,54,87,1406.6
Packaging,2026-01-08,0.9867,0.983,0.9964,0.9665,11183,40,384,1396.7
Packaging,2026-01-09,0.987,0.9823,0.9964,0.9661,11175,40,375,1396.1
Packaging,2026-01-10,1.0,0.9814,0.9957,0.9772,11306,49,0,1413.2
Packaging,2026-01-11,0.9706,0.9879,0.9961,0.9551,11049,43,848,1380.7
Packaging,2026-01-12,0.9808,0.9862,0.9961,0.9635,11148,44,552,1392.9
Packaging,2026-01-13,0.9711,0.9887,0.9949,0.9553,11081,56,833,1382.6
Packaging,2026-01-14,0.9703,0.9865,0.9964,0.9537,11033,40,856,1378.4
Packaging,2026-01-15,0.977,0.9925,0.9962,0.966,11172,42,663,1396.4
Packaging,2026-01-16,0.9716,0.9884,0.9968,0.9573,11078,35,818,1382.9
Packaging,2026-01-17,0.9585,0.9883,0.9955,0.943,10935,49,1199,1364.1
Packaging,2026-01-18,0.9637,0.9806,0.9969,0.942,10896,34,1047,1360.7
Packaging,2026-01-19,0.9731,0.9865,0.9957,0.9558,11080,48,776,1382.3
Packaging,2026-01-20,0.9857,0.9873,0.9951,0.9684,11232,55,414,1401.4
Packaging,2026-01-21,0.9879,0.9863,0.9964,0.9709,11244,40,350,1403.1
Packaging,2026-01-22,0.9794,0.9881,0.9959,0.9639,11170,46,593,1393.7
Packaging,2026-01-23,0.9713,0.9848,0.9947,0.9514,11038,59,829,1377.4
Packaging,2026-01-24,0.9915,0.9891,0.9955,0.9762,11299,51,246,1412.1
Packaging,2026-01-25,0.9689,0.9789,0.9951,0.9438,10948,54,898,1365.7
Packaging,2026-01-26,0.9831,0.9834,0.9957,0.9626,11140,48,486,1392.2
Packaging,2026-01-27,0.9616,0.984,0.9954,0.9419,10911,50,1106,1362.6
Packaging,2026-01-28,0.9799,0.9898,0.9964,0.9665,11189,40,580,1396.7
Packaging,2026-01-29,0.982,0.9922,0.9959,0.9704,11240,46,520,1403.1
Packaging,2026-01-30,0.9795,0.9853,0.9962,0.9615,11138,42,591,1389.8
